,CellLine,Drug,ec50UM,ic50UM,aMax,actArea
5159,NCIH1299_LUNG,Erlotinib,8.62741137,8,-40.988876,0.7121
6243,NCIH1299_LUNG,L-685458,0.92126179,8,-19.011559,0.4863
8170,NCIH1299_LUNG,Lapatinib,0.61638433,8,-9.642719,0.2706
12161,NCIH1299_LUNG,PHA-665752,-1,8,1.481909,0.7558
13146,NCIH1299_LUNG,PLX4720,-1,8,-6.83741,0.5758
11028,NCIH1184_LUNG,17-AAG,0.10351963,0.23096255,-90.869217,3.0332
6236,NCIH1184_LUNG,Irinotecan,6.36848773,0.03154251,-97.64476,4.533
17235,NCIH1184_LUNG,Paclitaxel,0.00547284,0.0058196,-64.243439,4.6431
18217,NCIH1184_LUNG,Panobinostat,0.02204533,0.02476811,-95.212387,5.3657
23164,NCIH1184_LUNG,Topotecan,0.09040846,0.10876334,-94.096237,4.1958
2300,NCIH1184_LUNG,AEW541,-1,8,-26.731598,0.6452
391,NCIH1184_LUNG,AZD0530,-1,8,46.795959,0
9133,NCIH1184_LUNG,Lapatinib,-1,8,15.25763,0.2531
10120,NCIH1184_LUNG,Nilotinib,-1,8,16.262909,0
15203,NCIH1184_LUNG,PHA-665752,-1,8,25.972998,0.2403
16203,NCIH1184_LUNG,PLX4720,-1,8,17.912743,0.136
2449,NCIH1184_LUNG,ZD-6474,-1,8,8.340704,0.2687
11027,NCIH1155_LUNG,17-AAG,0.11173661,0.11738702,-84.957077,3.8781
14141,NCIH1155_LUNG,Paclitaxel,0.05519043,0.04049384,-93.982315,5.3744
15200,NCIH1155_LUNG,Panobinostat,0.04281441,0.04550362,-96.714844,4.6853
17234,NCIH1155_LUNG,TAE684,-1,0.31488472,-74.886719,1.5621
19127,NCIH1155_LUNG,Topotecan,0.0522191,0.05234684,-94.603523,4.8723
18218,NCIH1155_LUNG,TKI258,8.43099207,3.73472142,-78.765373,1.299
4105,NCIH1155_LUNG,AZD6244,-1,8,-13.959147,0.1612
8169,NCIH1155_LUNG,Lapatinib,9.14384095,8,-30.029871,0.3304
9132,NCIH1155_LUNG,Nutlin-3,-1,8,-6.948323,0.5254
12160,NCIH1155_LUNG,PHA-665752,-1,8,1.487944,0.3567
16202,NCIH1155_LUNG,Sorafenib,-1,8,1.471072,0.4457
6241,NCIH1092_LUNG,Irinotecan,0.14840747,0.1429451,-101.54055,3.195
18214,NCIH1092_LUNG,Panobinostat,0.07331827,0.06662036,-100.479256,3.5793
23163,NCIH1092_LUNG,Topotecan,1.3399564,0.43335912,-103.471649,2.8124
11026,NCIH1092_LUNG,17-AAG,1.29968071,8,-49.704151,1.0754
19128,NCIH1092_LUNG,RAF265,8.27582679,8,-48.349308,0.6779
22100,NCIH1092_LUNG,TKI258,8.5145175,8,-46.888126,0.5458
11020,NCIH1048_LUNG,17-AAG,0.04831103,0.04862209,-88.725044,4.7653
6240,NCIH1048_LUNG,Irinotecan,0.03831875,0.04101597,-93.249702,4.6028
17229,NCIH1048_LUNG,Paclitaxel,5.39545968,0.00391821,-96.753143,6.7078
18216,NCIH1048_LUNG,Panobinostat,0.06054474,0.05066562,-96.137451,4.9662
21118,NCIH1048_LUNG,TAE684,1.45951951,1.48529339,-92.274101,1.9009
23162,NCIH1048_LUNG,Topotecan,0.02263061,0.02147605,-95.763664,5.3324
4104,NCIH1048_LUNG,AZD6244,-1,8,-8.014388,0.0881
8168,NCIH1048_LUNG,LBW242,-1,8,-7.730964,0.1353
11190,NCIH1048_LUNG,Nutlin-3,-1,8,1.471075,0.1314
13145,NCIH1048_LUNG,PD-0332991 ,-1,8,8.466392,0.0154
15201,NCIH1048_LUNG,PHA-665752,-1,8,8.75002,0.1776
16201,NCIH1048_LUNG,PLX4720,-1,8,-2.724458,0.0554
11024,MSTO211H_PLEURA,17-AAG,0.18641332,0.19037366,-92.202843,3.6676
16199,MSTO211H_PLEURA,Paclitaxel,0.01144923,0.01347824,-85.117111,5.3017
17232,MSTO211H_PLEURA,Panobinostat,0.07858843,0.07372574,-98.294899,4.4962
18215,MSTO211H_PLEURA,RAF265,1.12046826,0.94656241,-88.143906,2.1076
2296,MSTO211H_PLEURA,Topotecan,0.24587214,0.25864503,-91.614975,3.1705
2208,MSTO211H_PLEURA,AEW541,-1,8,-0.568895,0.5041
5157,MSTO211H_PLEURA,Erlotinib,-1,8,-8.648255,0.3184
6239,MSTO211H_PLEURA,L-685458,-1,8,-1.253835,0.0854
7169,MSTO211H_PLEURA,LBW242,-1,8,-10.097605,0.8363
20132,MSTO211H_PLEURA,TAE684,2.29358554,2.31294942,-96.807678,1.6265
21119,MSTO211H_PLEURA,TKI258,2.15654135,2.28185749,-90.879379,1.7164
8167,MSTO211H_PLEURA,Lapatinib,5.29833841,8,-43.060604,0.3716
14140,MSTO211H_PLEURA,PHA-665752,8.23935923,8,-29.080187,0.3346
11023,MPP89_PLEURA,17-AAG,0.16593751,0.20097902,-73.034149,2.8561
6238,MPP89_PLEURA,Irinotecan,0.470456,0.47883543,-87.033928,2.5822
17231,MPP89_PLEURA,Paclitaxel,0.06413181,0.0558553,-73.985176,4.6902
18212,MPP89_PLEURA,Panobinostat,0.06200701,0.06371859,-95.440079,4.5306
21116,MPP89_PLEURA,TAE684,2.84474754,2.06844521,-97.59787,1.9641
23161,MPP89_PLEURA,Topotecan,0.18545967,0.31521502,-75.319389,2.5565
4103,MPP89_PLEURA,AZD6244,-1,8,2.98936,0.1261
5158,MPP89_PLEURA,Erlotinib,-1,8,-1.212612,0.2684
13144,MPP89_PLEURA,PD-0332991 ,-1,8,0.20436,0.1568
15199,MPP89_PLEURA,PHA-665752,-1,8,-10.73963,0.0679
16200,MPP89_PLEURA,PLX4720,-1,8,1.121593,0.0675
20130,MPP89_PLEURA,Sorafenib,-1,8,-0.230341,0
11022,MORCPR_LUNG,17-AAG,0.07491618,0.07633848,-81.718834,3.875
14137,MORCPR_LUNG,Paclitaxel,0.00823034,0.00669532,-99.053345,6.6116
15197,MORCPR_LUNG,Panobinostat,0.03037016,0.02996954,-97.765434,5.0863
19124,MORCPR_LUNG,Topotecan,0.92033261,0.93362302,-88.483994,2.2823
17230,MORCPR_LUNG,TAE684,3.6067009,8,-46.61602,0.5558
6237,MORCPR_LUNG,L-685458,-1,8,2.88747,0.029
9131,MORCPR_LUNG,Nutlin-3,-1,8,-3.44508,0.1315
11189,MORCPR_LUNG,PF2341066,-1,8,-6.866482,0.1384
13143,MORCPR_LUNG,PLX4720,-1,8,1.626288,0
16198,MORCPR_LUNG,Sorafenib,-1,8,-17.787535,0.1042
11021,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.01544039,0.01445979,-93.551598,6.104
17227,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.00271818,0.00349632,-98.873405,7.0911
18213,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.00862783,0.00791646,-95.384621,6.4125
20129,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sorafenib,5.86218668,0.00733691,-82.766685,5.7935
2299,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TKI258,6.71537904,0.0281177,-95.953262,5.4525
23160,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.03253135,0.03175741,-97.178352,5.6936
4102,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD6244,-1,8,-26.04089,2.892
8165,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LBW242,-1,8,-0.139491,0.9584
11187,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nutlin-3,-1,8,-4.597891,2.0047
13141,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PD-0332991 ,-1,8,-48.648079,2.0811
14138,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PF2341066,-1,0.30434322,-92.876747,2.741
16196,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,-1,8,-46.712318,1.403
6235,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Irinotecan,0.09721217,0.09822685,-96.32708,4.9124
7168,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,3.6966002,3.72681236,-96.170151,2.1439
21117,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,0.48722455,0.3158209,-96.654076,4.6298
5156,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Erlotinib,1.85485101,2.66733789,-78.238647,2.0672
2447,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ZD-6474,1.34888649,2.42948985,-69.344299,1.3969
6232,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Irinotecan,0.01475952,0.02134908,-93.836983,5.5993
17228,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.00297852,0.00394897,-91.46962,6.7558
18206,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.00616461,0.0086177,-95.216164,5.9569
19126,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAF265,0.1337145,0.30039427,-94.642334,3.5251
2298,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TKI258,-1,0.21816194,-101.456253,2.0937
23159,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.00652326,0.01710706,-95.953789,5.7389
7167,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,4.38380957,4.35686159,-95.746193,1.6808
2209,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AEW541,8.61093276,5.80913878,-72.556252,1.5338
4101,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD6244,-1,8,-11.462323,1.4634
5155,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Erlotinib,-1,8,-8.178718,1.5452
9130,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lapatinib,-1,1.46226204,-70.290833,1.4487
11188,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nutlin-3,3.22954011,3.66402817,-80.488876,1.6592
21115,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,-1,0.77399996,-79.353836,1.5482
11013,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.29553676,0.32333171,-88.96505,3.7225
2207,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AEW541,0.22908559,0.33131117,-58.486794,2.4006
6234,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Irinotecan,0.26886037,0.21599993,-95.090103,3.8717
7165,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,-1,0.16743416,-88.958664,1.8304
17226,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,-1,0.00254261,-65.759392,4.819
18211,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.01322294,0.01800577,-97.231186,5.5941
21114,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,0.92486358,0.91559911,-80.155922,2.9462
23158,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.45061028,0.40384889,-95.843353,3.1229
390,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD0530,-1,8,1.873675,0.4735
5154,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Erlotinib,-1,8,26.675695,0.3782
8166,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LBW242,-1,8,-13.518341,0.5257
9129,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lapatinib,-1,8,0.020695,0.8492
10119,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nilotinib,2.42606473,8,-46.278416,0.838
16197,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,-1,8,-18.6285,0.333
11019,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,17-AAG,0.19663918,0.27181906,-69.487015,2.3529
16194,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,Paclitaxel,0.0301875,0.02381664,-94.693237,5.3376
17224,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,Panobinostat,0.23471572,0.20677583,-99.803452,3.2096
389,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,AZD0530,1.9583714,8,-41.728851,0.6568
2297,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,Topotecan,0.61671257,8,-35.541843,0.8864
5153,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,Erlotinib,-1,8,-3.03669,0
6233,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,L-685458,-1,8,1.69823,0
8164,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,Lapatinib,-1,8,-0.180138,0
11186,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,PD-0325901,2.98758793,8,-9.20062,0.0147
21113,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,TKI258,-1,8,-3.671568,0.0637
11018,MKN7_STOMACH,17-AAG,0.76175201,0.99664146,-59.110954,2.6606
6228,MKN7_STOMACH,Irinotecan,0.49437618,0.41791675,-99.403954,3.4797
18210,MKN7_STOMACH,Panobinostat,0.14710172,0.13995525,-97.869247,4.0845
21111,MKN7_STOMACH,TAE684,8.23058955,5.46611929,-72.782433,2.3151
23153,MKN7_STOMACH,Topotecan,2.02089977,0.6088391,-92.123573,3.1009
17225,MKN7_STOMACH,Paclitaxel,-1,8,-47.262768,3.6733
2206,MKN7_STOMACH,AEW541,-1,8,-33.742844,0.3176
388,MKN7_STOMACH,AZD0530,-1,8,9.827159,0.2042
5152,MKN7_STOMACH,Erlotinib,-1,8,-0.601129,0.3438
7166,MKN7_STOMACH,L-685458,-1,8,20.464979,0
15198,MKN7_STOMACH,PHA-665752,-1,8,18.617542,0
20128,MKN7_STOMACH,Sorafenib,-1,8,23.037947,0.2289
11017,MKN74_STOMACH,17-AAG,0.1371931,0.16906065,-65.805084,3.2581
6231,MKN74_STOMACH,Irinotecan,1.22751224,1.21525812,-95.623215,1.4986
17217,MKN74_STOMACH,Paclitaxel,0.01809942,0.02244028,-61.837254,3.5975
18209,MKN74_STOMACH,Panobinostat,0.15486516,0.15228461,-96.380852,4.287
19125,MKN74_STOMACH,RAF265,0.54289901,2.24620915,-60.76862,1.438
23156,MKN74_STOMACH,Topotecan,0.68929011,0.6938901,-92.495529,2.3142
2205,MKN74_STOMACH,AEW541,3.38584948,3.76988292,-66.60817,1.2515
4100,MKN74_STOMACH,AZD6244,-1,8,2.662237,0.0043
7164,MKN74_STOMACH,L-685458,-1,8,-2.264643,0.148
11185,MKN74_STOMACH,Nutlin-3,-1,8,-0.684109,0.0467
14136,MKN74_STOMACH,PF2341066,-1,8,5.982923,0
16195,MKN74_STOMACH,PLX4720,-1,8,-24.242828,0.054
20127,MKN74_STOMACH,Sorafenib,-1,8,-10.033421,0.1997
11016,MKN45_STOMACH,17-AAG,0.01732134,0.01785977,-86.690857,5.2123
6230,MKN45_STOMACH,Irinotecan,0.07314441,0.0758056,-87.292526,4.1061
14134,MKN45_STOMACH,PF2341066,0.11065388,0.11373393,-88.998077,3.6422
15195,MKN45_STOMACH,PHA-665752,0.22880045,0.25909838,-89.798729,2.14
18208,MKN45_STOMACH,Panobinostat,0.02404528,0.05337812,-90.01516,4.163
23155,MKN45_STOMACH,Topotecan,0.06993326,0.07035867,-91.926697,4.3579
5151,MKN45_STOMACH,Erlotinib,-1,8,-0.816318,0.18
9128,MKN45_STOMACH,Lapatinib,-1,8,-31.284155,0.2113
10118,MKN45_STOMACH,Nilotinib,9.2495147,8,-44.108257,0.358
13142,MKN45_STOMACH,PD-0332991 ,-1,8,-11.612967,0.307
16193,MKN45_STOMACH,PLX4720,-1,8,3.805672,0.0819
2446,MKN45_STOMACH,ZD-6474,-1,8,1.241577,0.3538
11015,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.08505565,0.09716132,-95.925697,4.5197
17223,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.01266419,0.01326319,-92.897354,5.7256
18207,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAF265,-1,1.04153255,-69.40284,0.8468
2294,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.21554709,0.23488046,-95.481773,3.4198
23154,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ZD-6474,2.01650953,2.60737896,-60.271484,1.8715
13140,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PF2341066,3.06412411,3.5432477,-75.395103,0.9347
16192,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.00855249,8,-95.210388,6.9625
5150,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Erlotinib,-1,8,17.446775,0.0071
6229,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,-1,8,12.267409,0.1173
11184,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PD-0325901,-1,8,10.419107,0
15196,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLX4720,-1,8,2.691876,0.0662
19123,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sorafenib,-1,8,8.232875,0
6223,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Irinotecan,0.08000915,0.06845454,-96.346169,4.7234
14135,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PF2341066,-1,0.04103833,-91.189285,1.1621
17222,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Paclitaxel,0.00363143,0.00287093,-99.079643,7.1403
18192,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Panobinostat,0.00898622,0.01013622,-95.457001,5.6889
21112,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TAE684,-1,0.02394008,-93.356628,1.8164
23148,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Topotecan,0.04668907,0.04596167,-98.797775,4.5568
11014,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,0.12246587,0.0819973,-95.594872,4.9855
2295,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TKI258,1.57514107,1.59669459,-96.559235,1.6047
387,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AZD0530,-1,8,-2.682933,0.0584
7163,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-685458,-1,8,7.720008,0.0072
10117,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nilotinib,-1,8,4.617715,0
11183,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Nutlin-3,-1,8,6.262401,0.1098
15194,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PHA-665752,-1,8,-34.400936,0.1203
20126,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sorafenib,-1,8,-5.26404,0.0024
11011,MIAPACA2_PANCREAS,17-AAG,0.01830367,0.02095688,-84.448105,4.5336
6227,MIAPACA2_PANCREAS,Irinotecan,0.18620883,0.21262221,-86.944603,3.4062
12159,MIAPACA2_PANCREAS,PD-0325901,0.01262096,0.06495994,-63.631435,3.7488
17221,MIAPACA2_PANCREAS,Paclitaxel,0.00327038,0.00405202,-83.158859,5.7431
18205,MIAPACA2_PANCREAS,Panobinostat,0.01642354,0.01962301,-96.878654,5.4217
23152,MIAPACA2_PANCREAS,Topotecan,0.11867868,0.13022059,-93.95356,3.8799
21110,MIAPACA2_PANCREAS,TAE684,0.96965301,1.23667073,-83.11647,2.0974
5149,MIAPACA2_PANCREAS,Erlotinib,-1,8,1.466054,0.0755
7162,MIAPACA2_PANCREAS,L-685458,-1,8,-1.648593,0.0216
10116,MIAPACA2_PANCREAS,Nilotinib,5.10997534,8,-33.147957,0.259
11182,MIAPACA2_PANCREAS,Nutlin-3,-1,8,-2.413711,0.23
13139,MIAPACA2_PANCREAS,PD-0332991 ,-1,8,-2.519878,0.3324
16191,MIAPACA2_PANCREAS,PLX4720,-1,8,-2.710032,0.1083
11012,MHHES1_BONE,17-AAG,0.14064267,0.14646831,-88.005409,4.5868
6225,MHHES1_BONE,Irinotecan,0.04656991,0.04603162,-95.068871,5.3433
12156,MHHES1_BONE,PD-0325901,0.01784424,0.02663766,-89.947815,5.2407
17220,MHHES1_BONE,Paclitaxel,4.82007277,0.00261794,-95.197578,7.2501
18203,MHHES1_BONE,Panobinostat,0.0584808,0.0632913,-95.050323,4.5822
23150,MHHES1_BONE,Topotecan,0.01851608,0.02192372,-96.518402,6.0318
8162,MHHES1_BONE,LBW242,-1,8,-10.095676,0.9377
11180,MHHES1_BONE,Nutlin-3,-1,8,-8.733081,1.5578
2204,MHHES1_BONE,AEW541,2.43080735,1.77517903,-92.471893,2.06
21109,MHHES1_BONE,TAE684,0.68742925,0.64311194,-95.28373,3.4513
5148,MHHES1_BONE,Erlotinib,8.86287191,7.838871,-50.57201,1.1808
16190,MHHES1_BONE,PLX4720,4.4443574,8,-40.647545,0.9013
2293,MHHES1_BONE,TKI258,8.57268423,7.06850147,-54.81424,1.2846
2445,MHHES1_BONE,ZD-6474,1.82345629,8,-46.00272,1.6642
11010,MG63_BONE,17-AAG,0.59298372,0.81463224,-64.454094,1.3119
6226,MG63_BONE,Irinotecan,0.18640737,0.20671548,-86.432648,2.8245
17219,MG63_BONE,Paclitaxel,0.00615143,0.00506971,-85.198761,5.9739
18204,MG63_BONE,Panobinostat,0.08674586,0.12660496,-87.917946,3.6454
21107,MG63_BONE,TAE684,1.18065774,1.10885,-95.221878,2.2176
23151,MG63_BONE,Topotecan,0.22333317,0.25220254,-90.886528,3.5973
2203,MG63_BONE,AEW541,8.13675946,3.71070266,-74.67765,1.392
5147,MG63_BONE,Erlotinib,6.0819087,8,-18.36063,0.1603
7161,MG63_BONE,L-685458,-1,8,7.624054,0
8163,MG63_BONE,LBW242,-1,8,-4.805256,0.1322
9127,MG63_BONE,Lapatinib,3.38345432,8,-22.771683,0.1513
15193,MG63_BONE,PHA-665752,-1,8,-2.25462,0.0298
16189,MG63_BONE,PLX4720,-1,8,1.132578,0.1757
11005,MFE319_ENDOMETRIUM,17-AAG,-1,0.07969754,-71.506378,2.5464
385,MFE319_ENDOMETRIUM,AZD0530,-1,0.0217238,-77.55661,2.3456
7160,MFE319_ENDOMETRIUM,LBW242,-1,0.01224495,-58.099003,0.8158
14131,MFE319_ENDOMETRIUM,Paclitaxel,6.2691959,0.00268539,-92.011024,6.2607
15190,MFE319_ENDOMETRIUM,Panobinostat,0.0509945,0.05967219,-96.697922,4.2531
19122,MFE319_ENDOMETRIUM,Topotecan,2.22980189,2.10456729,-77.276505,2.5258
6224,MFE319_ENDOMETRIUM,L-685458,-1,8,-2.973268,0.3238
9126,MFE319_ENDOMETRIUM,Nutlin-3,-1,8,-5.358889,0.5247
13138,MFE319_ENDOMETRIUM,PLX4720,-1,8,-3.684365,0
16188,MFE319_ENDOMETRIUM,Sorafenib,-1,8,-28.599834,0.3111
17218,MFE319_ENDOMETRIUM,TAE684,-1,8,-7.281013,0.5841
11009,MFE296_ENDOMETRIUM,17-AAG,0.28781095,0.32807484,-85.424438,2.9064
14132,MFE296_ENDOMETRIUM,Paclitaxel,0.01225308,0.00617474,-92.282295,5.9629
15192,MFE296_ENDOMETRIUM,Panobinostat,0.05481246,0.06053268,-99.024384,3.909
16187,MFE296_ENDOMETRIUM,RAF265,0.40427843,0.70674568,-78.278191,1.9443
20124,MFE296_ENDOMETRIUM,Topotecan,0.06951751,0.066732,-88.489822,4.5965
498,MFE296_ENDOMETRIUM,AZD6244,-1,8,-0.602542,0.314
7159,MFE296_ENDOMETRIUM,LBW242,-1,8,-47.522114,1.0266
9124,MFE296_ENDOMETRIUM,Nutlin-3,-1,8,-27.071356,0.4547
12158,MFE296_ENDOMETRIUM,PHA-665752,-1,8,-10.469476,0.453
19121,MFE296_ENDOMETRIUM,TKI258,5.3853159,2.56644797,-80.172371,1.3124
8161,MFE296_ENDOMETRIUM,Lapatinib,8.20608858,8,-42.607113,0.4447
13137,MFE296_ENDOMETRIUM,PLX4720,6.20959711,8,-37.267811,0.3759
11008,MFE280_ENDOMETRIUM,17-AAG,0.1628938,0.20752683,-65.649452,3.2444
6215,MFE280_ENDOMETRIUM,Irinotecan,0.74766052,0.74365699,-90.59359,2.0817
17216,MFE280_ENDOMETRIUM,Paclitaxel,0.02201106,0.0264993,-61.068581,3.8856
18202,MFE280_ENDOMETRIUM,Panobinostat,0.06023852,0.04554348,-96.553711,4.9023
19119,MFE280_ENDOMETRIUM,RAF265,-1,1.38328904,-66.422447,1.5917
21108,MFE280_ENDOMETRIUM,TAE684,-1,1.69462663,-59.783573,0.6407
23149,MFE280_ENDOMETRIUM,Topotecan,2.10554481,2.22837186,-89.796448,2.3197
2444,MFE280_ENDOMETRIUM,ZD-6474,2.95635605,3.28446102,-70.130554,1.5907
7158,MFE280_ENDOMETRIUM,L-685458,7.30606222,7.79037237,-53.068539,0.2754
8160,MFE280_ENDOMETRIUM,LBW242,-1,8,7.156411,0.1119
10115,MFE280_ENDOMETRIUM,Nilotinib,6.77658939,8,-44.64809,0.3222
11181,MFE280_ENDOMETRIUM,Nutlin-3,-1,8,-6.675784,0.3682
15191,MFE280_ENDOMETRIUM,PHA-665752,-1,8,-0.149704,0.1629
16186,MFE280_ENDOMETRIUM,PLX4720,-1,8,0.339003,0.1392
6222,MEWO_SKIN,Irinotecan,-1,1.51376047,-63.61174,0.9154
17212,MEWO_SKIN,Paclitaxel,0.00930589,0.02324267,-62.051762,3.5542
18201,MEWO_SKIN,Panobinostat,0.08683297,0.10651953,-99.92878,3.6394
21105,MEWO_SKIN,TAE684,8.55038953,6.01935148,-56.997723,0.8891
12157,MEWO_SKIN,PD-0325901,0.62760758,8,-48.578896,0.9748
23147,MEWO_SKIN,Topotecan,-1,8,-38.111523,0.4341
386,MEWO_SKIN,AZD0530,-1,8,12.384452,0.0842
5146,MEWO_SKIN,Erlotinib,-1,8,15.620438,0.0029
9125,MEWO_SKIN,Lapatinib,-1,8,5.218069,0
10114,MEWO_SKIN,Nilotinib,-1,8,3.485079,0
11179,MEWO_SKIN,Nutlin-3,-1,8,9.614969,0
16185,MEWO_SKIN,PLX4720,-1,8,-6.777186,0.1847
11007,MESSA_SOFT_TISSUE,17-AAG,0.03758144,0.03781179,-93.517509,4.9795
13136,MESSA_SOFT_TISSUE,PF2341066,2.69765663,4.23433018,-55.103622,0.6468
16183,MESSA_SOFT_TISSUE,Paclitaxel,5.50431146,0.00683667,-88.315277,5.6311
17215,MESSA_SOFT_TISSUE,Panobinostat,0.09657259,0.10424031,-95.024818,3.9164
2291,MESSA_SOFT_TISSUE,Topotecan,0.0948448,0.11363089,-91.064629,3.7506
20125,MESSA_SOFT_TISSUE,TAE684,6.35151815,6.50700426,-68.505241,0.6457
384,MESSA_SOFT_TISSUE,AZD0530,-1,8,0.918024,0.0214
5145,MESSA_SOFT_TISSUE,Erlotinib,-1,8,0.423126,0
8159,MESSA_SOFT_TISSUE,Lapatinib,-1,8,0.701454,0
